Feature,Coefficient,Importance
TotalCharges,0.1755532269108139,0.1755532269108139
Contract,-0.16139189228008363,0.16139189228008363
PaperlessBilling,0.1602426864902307,0.1602426864902307
SeniorCitizen,0.12865503275008613,0.12865503275008613
OnlineSecurity,-0.11524918468509945,0.11524918468509945
tenure_bin,-0.10235393231293413,0.10235393231293413
TechSupport,-0.10156966092479157,0.10156966092479157
MultipleLines,0.07278351045161179,0.07278351045161179
Dependents,-0.06901590507299156,0.06901590507299156
OnlineBackup,-0.06038116028941761,0.06038116028941761
StreamingMovies,0.050539333882062124,0.050539333882062124
StreamingTV,0.03667615046401951,0.03667615046401951
DeviceProtection,-0.030857621317055217,0.030857621317055217
InternetService,-0.023712354933814767,0.023712354933814767
gender,-0.023406100377875008,0.023406100377875008
Partner,0.01618537776391025,0.01618537776391025
PhoneService,0.014682640538076316,0.014682640538076316
PaymentMethod,0.008909148731346461,0.008909148731346461
